Unnamed: 0,City,Latitude,Longitude,Zip_Code,Avg_Price,Cluster_Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,Price_Categories,Cluster_Category
114,Jasper,33.520680000000034,-86.81175999999996,35504,279965.79,4,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Restaurants and Bars
115,Jasper,33.844960818452016,-87.27365619329937,35501,1711422.22,4,Theater,Bar,American Restaurant,Lounge,Hotel,Above Average,Restaurants and Bars
116,Jemison,33.520680000000034,-86.81175999999996,35085,240967.57,4,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Restaurants and Bars
117,Kimberly,33.520680000000034,-86.81175999999996,35071,245000.0,4,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Restaurants and Bars
118,Kimberly,33.520680000000034,-86.81175999999996,35091,264163.8,4,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Restaurants and Bars
119,Lake View,33.520680000000034,-86.81175999999996,35111,259760.0,4,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Restaurants and Bars
120,Lakeview,33.520680000000034,-86.81175999999996,35006,23500.0,4,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Restaurants and Bars
121,Lakeview,33.520680000000034,-86.81175999999996,35111,262000.0,4,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Restaurants and Bars
122,Lawley,33.520680000000034,-86.81175999999996,36793,196950.0,4,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Restaurants and Bars
123,Leeds,33.515555449090165,-86.62182657871547,35094,254919.2,4,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Restaurants and Bars
124,Leeds,33.520680000000034,-86.81175999999996,35004,1410000.0,4,Theater,Bar,American Restaurant,Lounge,Hotel,Average level,Restaurants and Bars
125,Leeds,33.520680000000034,-86.81175999999996,35128,250000.0,4,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Restaurants and Bars
126,Leeds,33.54713730000003,-86.67295219999994,35210,264900.0,4,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Restaurants and Bars
127,Lipscomb,33.44012731247806,-86.93374787180235,35020,65000.0,4,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Restaurants and Bars
128,Locust Fork,33.520680000000034,-86.81175999999996,35049,140000.0,4,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Restaurants and Bars
