City,Zip_Code,Price
"""Bessemer""",35023,89000
"""Bessemer""",35023,87900
"""Hueytown""",35023,87500
"""Hueytown""",35023,84900
"""Hueytown""",35023,80000
"""Hueytown""",35023,80000
"""Bessemer""",35023,79900
"""Hueytown""",35023,79900
"""Hueytown""",35023,75000
"""Hueytown""",35023,75000
"""Hueytown""",35023,74995
"""Hueytown""",35023,74500
"""Bessemer""",35023,74000
"""Blountsville""",35031,750000
"""Blountsville""",35031,749000
"""Blountsville""",35031,599900
"""Blountsville""",35031,478000
"""Blountsville""",35031,360000
"""Blountsville""",35031,275000
"""Blountsville""",35031,259000
"""Blountsville""",35031,252900
"""Blountsville""",35031,179900
"""Blountsville""",35031,179900
"""Blountsville""",35031,173500
"""Blountsville""",35031,159900
"""Blountsville""",35031,154900
"""Blountsville""",35031,154900
"""Blountsville""",35031,99500
"""Blountsville""",35031,89900
"""Blountsville""",35031,77352
"""Blountsville""",35031,74900
"""Blountsville""",35031,64900
"""Blountsville""",35031,60000
"""Blountsville""",35031,59900
"""Blountsville""",35031,55000
"""Blountsville""",35031,41900
"""Blountsville""",35031,40000
"""Blountsville""",35031,36000
"""Blountsville""",35031,25900
"""Blountsville""",35031,23000
"""Brent""",35034,227630
"""Centreville""",35034,199500
"""Brent""",35034,195500
"""Brierfield""",35035,396000
"""Brierfield""",35035,351900
"""Calera""",35040,5520000
"""Calera""",35040,1500000
"""Calera""",35040,1289000
"""Calera""",35040,825000
"""Calera""",35040,780000
"""Calera""",35040,739400
"""Calera""",35040,660000
"""Calera""",35040,585000
"""Calera""",35040,575000
"""Calera""",35040,538500
"""Calera""",35040,519900
"""Calera""",35040,500000
"""Calera""",35040,499900
"""Calera""",35040,499900
"""Calera""",35040,499000
"""Calera""",35040,480000
"""Calera""",35040,395000
"""Calera""",35040,383900
"""Calera""",35040,375000
"""Calera""",35040,359900
"""Calera""",35040,356095
"""Calera""",35040,349900
"""Calera""",35040,349900
"""Calera""",35040,347975
"""Calera""",35040,341095
"""Calera""",35040,329900
"""Calera""",35040,289000
"""Calera""",35040,283595
"""Calera""",35040,264995
"""Calera""",35040,264900
"""Calera""",35040,259995
"""Calera""",35040,259900
"""Calera""",35040,259600
"""Calera""",35040,259475
"""Calera""",35040,259000
"""Calera""",35040,254770
"""Calera""",35040,252695
"""Calera""",35040,250375
"""Calera""",35040,250000
"""Calera""",35040,247960
"""Calera""",35040,246705
"""Calera""",35040,246600
"""Calera""",35040,245000
"""Calera""",35040,244670
"""Calera""",35040,241895
"""Calera""",35040,241810
"""Calera""",35040,240493
"""Calera""",35040,240295
"""Calera""",35040,240015
"""Calera""",35040,239900
"""Calera""",35040,239900
"""Calera""",35040,238990
"""Calera""",35040,238695
"""Calera""",35040,238575
"""Calera""",35040,238300
"""Calera""",35040,237895
"""Calera""",35040,237850
"""Calera""",35040,237550
"""Calera""",35040,236600
"""Calera""",35040,236285
"""Calera""",35040,235825
"""Calera""",35040,230850
"""Calera""",35040,229900
"""Calera""",35040,229900
"""Calera""",35040,229900
"""Calera""",35040,229528
"""Calera""",35040,229000
"""Calera""",35040,228778
"""Calera""",35040,228545
"""Calera""",35040,228470
"""Calera""",35040,228150
"""Calera""",35040,224900
"""Calera""",35040,224150
"""Calera""",35040,224000
"""Calera""",35040,223850
"""Calera""",35040,222795
"""Calera""",35040,221682
"""Calera""",35040,221636
"""Calera""",35040,221150
"""Calera""",35040,219900
"""Calera""",35040,219900
"""Calera""",35040,219900
"""Calera""",35040,219900
"""Calera""",35040,219900
"""Calera""",35040,219840
"""Calera""",35040,217450
"""Calera""",35040,214900
"""Calera""",35040,214900
"""Calera""",35040,212035
"""Calera""",35040,207145
"""Calera""",35040,206600
"""Calera""",35040,204420
"""Calera""",35040,200000
"""Calera""",35040,199999
"""Calera""",35040,199900
"""Calera""",35040,199600
"""Calera""",35040,199500
"""Calera""",35040,198937
"""Calera""",35040,198900
"""Centreville""",35042,369000
"""Centreville""",35042,295000
"""Centreville""",35042,255000
"""Centreville""",35042,179500
"""Centreville""",35042,165000
"""Centreville""",35042,149000
"""Centreville""",35042,144700
"""Centreville""",35042,126000
"""Centreville""",35042,100000
"""Centreville""",35042,79900
"""Centreville""",35042,72900
"""Chelsea""",35043,2980000
"""Chelsea""",35043,2500000
"""Chelsea""",35043,2200000
"""Chelsea""",35043,1900000
"""Birmingham""",35043,1650000
"""Chelsea""",35043,1600000
"""Chelsea""",35043,1375000
"""Chelsea""",35043,1216192
"""Chelsea""",35043,999000
"""Chelsea""",35043,990000
"""Chelsea""",35043,950000
"""Chelsea""",35043,849900
"""Chelsea""",35043,845000
"""Chelsea""",35043,625000
"""Chelsea""",35043,600000
"""Chelsea""",35043,595900
"""Chelsea""",35043,580900
"""Chelsea""",35043,569900
"""Chelsea""",35043,554900
"""Chelsea""",35043,525000
"""Chelsea""",35043,525000
"""Chelsea""",35043,524900
"""Chelsea""",35043,520750
"""Chelsea""",35043,519900
"""Chelsea""",35043,519900
"""Chelsea""",35043,512500
"""Chelsea""",35043,499000
"""Chelsea""",35043,493000
"""Chelsea""",35043,489900
"""Chelsea""",35043,484900
"""Chelsea""",35043,479900
"""Chelsea""",35043,469900
"""Chelsea""",35043,465000
"""Chelsea""",35043,464900
"""Chelsea""",35043,459500
